type,store,name,price,image_url
All-purpose flour,Lidl,all purpose flour,$2.38*,https://production-endpoint.azureedge.net/images/6GQJ4E9IBSQJ0C3O6KO30/1d3a6978-72d4-4053-9dc2-2560a818169f/45292_500x500_500x500.tif.jpg
All-purpose flour,Lidl,all purpose flour,$1.32*,https://production-endpoint.azureedge.net/images/6GO32E9O75FJAC1GF0QJ0C0/7477a464-7fd2-4135-bab9-1dc5339bc781/401989_500x500_500x500.tif.jpg
All-purpose flour,Lidl,small fajita flour tortillas,$1.79*,https://production-endpoint.azureedge.net/images/68S38DHM75FJAC1GF0QJ0C0/1596fc0b-b9c6-4929-9399-f726718230b2/284669_500x500_500x500.tif.jpg
All-purpose flour,Lidl,medium flour tortillas,$1.89*,https://production-endpoint.azureedge.net/images/6CSJ8D9P69FJAC1GF0QJ0C0/8372e130-10f5-438a-a99d-b4669d4ac049/394592_500x500_500x500.tif.jpg
All-purpose flour,Lidl,organic coconut flour,$2.49*,https://production-endpoint.azureedge.net/images/6GO36E1J6TFJAC1GF0QJ0C0/6c25a810-1cce-4269-9186-01bd54102ac5/403837_500x500_500x500.tif.jpg
All-purpose flour,Lidl,whole wheat flour,$2.99*,https://production-endpoint.azureedge.net/images/68RJ6D9I65FJAC1GF0QJ0C0/6e09ff50-bd42-4f6d-956b-0ff97a6f9137/273521_500x500_500x500.tif.jpg
All-purpose flour,Lidl,large flour tortillas,$1.89*,https://production-endpoint.azureedge.net/images/6GO3ACHPBSQJ0C3O6KO30/f34da487-4880-4a3b-8cac-c2029c0b6de5/40529_500x500_500x500.tif.jpg
All-purpose flour,Lidl,"La Banderita® flour tortillas, soft taco",$2.72*,https://production-endpoint.azureedge.net/images/6CSJIC1K6HFJAC1GF0QJ0C0/ec354a76-3883-4dda-a8c2-0734092bbcb2/399044_500x500_500x500.tif.jpg
All-purpose flour,Lidl,Crivit floor pump,$9.99*,https://production-endpoint.azureedge.net/images/6OOJ0E1H6LFJAC1GF0QJ0C0/683374d8-aafe-499e-b451-b11693dee656/610815_500x500_500x500.tif.jpg
Baking soda,Lidl,pure baking soda,$0.92*,https://production-endpoint.azureedge.net/images/6CQ3IDPG71FJAC1GF0QJ0C0/bc8fe7a8-f6a7-46ac-97f7-2c756ad488bd/349708_500x500_500x500.tif.jpg
Baking soda,Lidl,lemon lime soda,$0.59*,https://production-endpoint.azureedge.net/images/6SO3CCHG6DFJAC1GF0QJ0C0/9e6430c4-c3bc-43bd-b890-a19b62f4c7a4/706203_500x500_500x500.tif.jpg
Baking soda,Lidl,"Lidl Preferred Selection Italian soda, grapefruit",$3.49*,https://production-endpoint.azureedge.net/images/A14KQNQ9DLGMEPA3DTMMIRJ7ADNMURHEE1N6ENPL60O7GD9G60/0a61e8c4-9324-49de-b5ae-cb9da5abc285/PIM_ImageComingSoon.png_500x500.jpg
Baking soda,Lidl,baking cocoa,$2.69*,https://production-endpoint.azureedge.net/images/64SJ6C9L6PFJAC1GF0QJ0C0/95ddf735-5803-41ea-a1d8-bcde5f126c32/193156_500x500_500x500.tif.jpg
Baking soda,Lidl,Furtrition tight clumping cat litter,$12.88*,https://production-endpoint.azureedge.net/images/6GQ3IC1N71FJAC1GF0QJ0C0/9c1c54e8-74fc-4665-a0fb-397b232453d5/449078_500x500_500x500.tif.jpg
Baking soda,Lidl,Clabber Girl® baking powder,$2.63*,https://production-endpoint.azureedge.net/images/6KSJ4C9H6LFJAC1GF0QJ0C0/90ca6779-c54b-479a-871c-676d6fa643d2/592115_500x500_500x500.tif.jpg
Baking soda,Lidl,Fanta® orange soda,$7.48*,https://production-endpoint.azureedge.net/images/70OJ8DPJBSQJ0C3O6KO30/e7dd11ea-d95c-4353-85d7-ed2272b785f5/81473_500x500_500x500.JPG.jpg
Baking soda,Lidl,Sprite®,$2.68*,https://production-endpoint.azureedge.net/images/6CP3EDHP65FJAC1GF0QJ0C0/2877a950-a3af-480a-b57f-f058e0659a0e/327691_500x500_500x500.tif.jpg
Baking soda,Lidl,Sprite®,$7.48*,https://production-endpoint.azureedge.net/images/6CR3ACHL6HFJAC1GF0QJ0C0/959c491c-a832-4d09-b969-54f757a34c3c/365254_500x500_500x500.tif.jpg
Coconut oil,Lidl,Soapbox® coconut oil conditioner,$4.99*,https://production-endpoint.azureedge.net/images/6OOJ4C1N6TFJAC1GF0QJ0C0/f62b21c5-43ba-4d40-9a77-27ecf06ed0e1/612077_500x500_500x500.tif.jpg
Coconut oil,Lidl,organic virgin coconut oil,$6.35*,https://production-endpoint.azureedge.net/images/6OO36C9J69FJAC1GF0QJ0C0/28824b9b-a108-47f2-a58c-e109e77220f3/603132_500x500_500x500.tif.jpg
Coconut oil,Lidl,Soapbox® coconut oil shampoo,$4.99*,https://production-endpoint.azureedge.net/images/6OOJ4C1N71FJAC1GF0QJ0C0/d9728c48-11e3-4996-b91b-0b53879c1f63/612078_500x500_500x500.tif.jpg
Coconut oil,Lidl,"Banana Boat® deep tanning spray oil with coconut oil, SPF 4",$7.97*,https://production-endpoint.azureedge.net/images/6KP38D9H6PFJAC1GF0QJ0C0/95533ee0-a365-4bae-95f3-09b38d339020/524516_500x500_500x500.tif.jpg
Coconut oil,Lidl,organic coconut flour,$2.49*,https://production-endpoint.azureedge.net/images/6GO36E1J6TFJAC1GF0QJ0C0/6c25a810-1cce-4269-9186-01bd54102ac5/403837_500x500_500x500.tif.jpg
Coconut oil,Lidl,"coconut milk, creamy",$1.56*,https://production-endpoint.azureedge.net/images/6OSJ4CHM6PFJAC1GF0QJ0C0/b9b5f9c5-9956-46be-810c-21deb6660dc1/692266_500x500_500x500.tif.jpg
